"name","authors","year","base","booktitle","doi"
"Refactoring edit history of source code","S. Hayashi and T. Omori and T. Zenmyo and K. Maruyama and M. Saeki",2012,"[""IEEE"",""Engineering Village""]","2012 28th IEEE International Conference on Software Maintenance (ICSM)","10.1109/ICSM.2012.6405336"
"Supporting Merge Conflict Resolution by Using Fine-Grained Code Change History","Y. Nishimura and K. Maruyama",2016,"[""IEEE""]","2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)","10.1109/SANER.2016.46"
"Integrating source code search into git client for effective retrieving of change history","M. Sasaki and S. Matsumoto and S. Kusumoto",2018,"[""IEEE"",""Engineering Village""]","2018 IEEE Workshop on Mining and Analyzing Interaction Histories (MAINT)","10.1109/MAINT.2018.8323089"
"Detecting Program Changes from Edit History of Source Code","E. Kitsu and T. Omori and K. Maruyama",2013,"[""IEEE"",""Engineering Village""]","2013 20th Asia-Pacific Software Engineering Conference (APSEC)","10.1109/APSEC.2013.48"
"Detecting bad smells in source code using change history information","F. Palomba and G. Bavota and M. Di Penta and R. Oliveto and A. De Lucia and D. Poshyvanyk",2013,"[""IEEE"",""ACM"",""Engineering Village""]","2013 28th IEEE/ACM International Conference on Automated Software Engineering (ASE)","10.1109/ASE.2013.6693086"
"Historef: A tool for edit history refactoring","S. Hayashi and D. Hoshino and J. Matsuda and M. Saeki and T. Omori and K. Maruyama",2015,"[""IEEE"",""Engineering Village""]","2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)","10.1109/SANER.2015.7081858"
"ChangeChecker: A tool for defect prediction in source code changes based on incremental learning method","Z. Yuan and C. Liu and L. Yu and L. Zhang",2013,"[""IEEE"",""Engineering Village""]","Proceedings of 2013 3rd International Conference on Computer Science and Network Technology","10.1109/ICCSNT.2013.6967127"
"NESC Handbook, Premier Edition – Spanish version - A Discussion of the National Electrical Safety Code(R) plus COMENTARIOS EN ESPAÑOL","",2018,"[""IEEE""]",,"10.1109/IEEESTD.2018.8574031"
"Linking Source Code to Untangled Change Intents","X. Liu and L. Huang and C. Li and V. Ng",2018,"[""IEEE"",""Engineering Village""]","2018 IEEE International Conference on Software Maintenance and Evolution (ICSME)","10.1109/ICSME.2018.00047"
"Using source code metrics to predict change-prone web services: A case-study on ebay services","L. Kumar and S. K. Rath and A. Sureka",2017,"[""IEEE"",""Engineering Village""]","2017 IEEE Workshop on Machine Learning Techniques for Software Quality Evaluation (MaLTeSQuE)","10.1109/MALTESQUE.2017.7882009"
"Exploring the Effects of History Length and Age on Mining Software Change Impact","L. Moonen and S. D. Alesio and T. Rolfsnes and D. W. Binkley",2016,"[""IEEE"",""Engineering Village""]","2016 IEEE 16th International Working Conference on Source Code Analysis and Manipulation (SCAM)","10.1109/SCAM.2016.9"
"Move-optimized source code tree differencing","G. Dotzler and M. Philippsen",2016,"[""IEEE"",""ACM""]","2016 31st IEEE/ACM International Conference on Automated Software Engineering (ASE)",""
"Automatic Matching Release Notes and Source Code by Generating Summary for Software Change","Y. Huang and Z. Liu and X. Chen and X. Luo",2016,"[""IEEE"",""Engineering Village""]","2016 6th International Conference on Digital Home (ICDH)","10.1109/ICDH.2016.031"
"Automated Generalization and Refinement of Code Templates with Ekeko/X","T. Molderez and C. De Roover",2016,"[""IEEE""]","2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)","10.1109/SANER.2016.19"
"Using Version Control History to Follow the Changes of Source Code Elements","Z. Tóth and G. Novák and R. Ferenc and I. Siket",2013,"[""IEEE"",""Engineering Village""]","2013 17th European Conference on Software Maintenance and Reengineering","10.1109/CSMR.2013.40"
"Chronos: Visualizing slices of source-code history","F. Servant and J. A. Jones",2013,"[""IEEE"",""Engineering Village""]","2013 First IEEE Working Conference on Software Visualization (VISSOFT)","10.1109/VISSOFT.2013.6650547"
"Enriching API Documentation by Relevant API Methods Recommendation Based on Version History","Y. Arimatsu and Y. Ishida and K. Noda and T. Kobayashi",2018,"[""IEEE"",""Engineering Village""]","2018 IEEE Third International Workshop on Dynamic Software Documentation (DySDoc3)","10.1109/DySDoc3.2018.00014"
"An Empirical Study on the Characteristics of Python Fine-Grained Source Code Change Types","W. Lin and Z. Chen and W. Ma and L. Chen and L. Xu and B. Xu",2016,"[""IEEE"",""Engineering Village""]","2016 IEEE International Conference on Software Maintenance and Evolution (ICSME)","10.1109/ICSME.2016.25"
"Detecting and investigating the source code changes using logical rules","E. Kodhai and B. Dhivya",2014,"[""IEEE"",""Engineering Village""]","2014 International Conference on Circuits, Power and Computing Technologies [ICCPCT-2014]","10.1109/ICCPCT.2014.7054763"
"On Automatically Generating Commit Messages via Summarization of Source Code Changes","L. F. Cortés-Coy and M. Linares-Vásquez and J. Aponte and D. Poshyvanyk",2014,"[""IEEE"",""Engineering Village""]","2014 IEEE 14th International Working Conference on Source Code Analysis and Manipulation","10.1109/SCAM.2014.14"
"Querying the History of Software Projects Using QWALKEKO","R. Stevens and C. D. Roover",2014,"[""IEEE"",""Engineering Village""]","2014 IEEE International Conference on Software Maintenance and Evolution","10.1109/ICSME.2014.101"
"Intent, tests, and release dependencies: Pragmatic recipes for source code integration","M. Brandtner and P. Leitner and H. C. Gall",2015,"[""IEEE""]","2015 IEEE 15th International Working Conference on Source Code Analysis and Manipulation (SCAM)","10.1109/SCAM.2015.7335397"
"Using Eye Gaze Data to Recognize Task-Relevant Source Code Better and More Fine-Grained","K. Kevic",2017,"[""IEEE""]","2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C)","10.1109/ICSE-C.2017.152"
"Locating Source Code to Be Fixed Based on Initial Bug Reports - A Case Study on the Eclipse Project","P. Bangcharoensap and A. Ihara and Y. Kamei and K. Matsumoto",2012,"[""IEEE"",""Engineering Village""]","2012 Fourth International Workshop on Empirical Software Engineering in Practice","10.1109/IWESEP.2012.14"
"Triaging incoming change requests: Bug or commit history, or code authorship?","M. Linares-Vásquez and K. Hossen and H. Dang and H. Kagdi and M. Gethers and D. Poshyvanyk",2012,"[""IEEE"",""Engineering Village""]","2012 28th IEEE International Conference on Software Maintenance (ICSM)","10.1109/ICSM.2012.6405306"
"Slicing and replaying code change history","K. Maruyama and E. Kitsu and T. Omori and S. Hayashi",2012,"[""IEEE"",""ACM"",""Engineering Village""]","2012 Proceedings of the 27th IEEE/ACM International Conference on Automated Software Engineering","10.1145/2351676.2351713"
"Enriching in-IDE process information with fine-grained source code history","S. Proksch and S. Nadi and S. Amann and M. Mezini",2017,"[""IEEE"",""Engineering Village""]","2017 IEEE 24th International Conference on Software Analysis, Evolution and Reengineering (SANER)","10.1109/SANER.2017.7884626"
"[Research Paper] The Case for Adaptive Change Recommendation","S. Pugh and D. Binkley and L. Moonen",2018,"[""IEEE""]","2018 IEEE 18th International Working Conference on Source Code Analysis and Manipulation (SCAM)","10.1109/SCAM.2018.00022"
"Mining A change history to quickly identify bug locations : A case study of the Eclipse project","C. Tantithamthavorn and R. Teekavanich and A. Ihara and K. Matsumoto",2013,"[""IEEE""]","2013 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW)","10.1109/ISSREW.2013.6688888"
"The Ekeko/X Program Transformation Tool","C. De Roover and K. Inoue",2014,"[""IEEE"",""Engineering Village""]","2014 IEEE 14th International Working Conference on Source Code Analysis and Manipulation","10.1109/SCAM.2014.32"
"Code Change History and Software Vulnerabilities","M. Piancó and B. Fonseca and N. Antunes",2016,"[""IEEE"",""Engineering Village""]","2016 46th Annual IEEE/IFIP International Conference on Dependable Systems and Networks Workshop (DSN-W)","10.1109/DSN-W.2016.50"
"Automatic Algorithm Recognition of Source-Code Using Machine Learning","M. Shalaby and T. Mehrez and A. El Mougy and K. Abdulnasser and A. Al-Safty",2017,"[""IEEE"",""Engineering Village""]","2017 16th IEEE International Conference on Machine Learning and Applications (ICMLA)","10.1109/ICMLA.2017.00033"
"Predicting bug inducing source code change patterns","A. Khan and S. N. Ahsan",2016,"[""IEEE"",""Engineering Village""]","2016 International Conference on Open Source Systems Technologies (ICOSST)","10.1109/ICOSST.2016.7838573"
"Using Topic Model to Suggest Fine-Grained Source Code Changes","H. A. Nguyen and A. T. Nguyen and T. N. Nguyen",2016,"[""IEEE"",""Engineering Village""]","2016 IEEE International Conference on Software Maintenance and Evolution (ICSME)","10.1109/ICSME.2016.40"
"A Program Slicing-Based Bayesian Network Model for Change Impact Analysis","E. Ufuktepe and T. Tuglular",2018,"[""IEEE"",""Engineering Village""]","2018 IEEE International Conference on Software Quality, Reliability and Security (QRS)","10.1109/QRS.2018.00062"
"An automated tool for collection of code attributes for cross project defect prediction","R. Malhotra and B. Bansal and C. Jain and E. Punia",2017,"[""IEEE"",""Engineering Village""]","2017 2nd International Conference on Man and Machine Interfacing (MAMI)","10.1109/MAMI.2017.8307864"
"A study on repetitiveness of code completion operations","T. Omori and H. Kuwabara and K. Maruyama",2012,"[""IEEE""]","2012 28th IEEE International Conference on Software Maintenance (ICSM)","10.1109/ICSM.2012.6405327"
"Predicting software change-proneness with code smells and class imbalance learning","A. Kaur and K. Kaur and S. Jain",2016,"[""IEEE"",""Engineering Village""]","2016 International Conference on Advances in Computing, Communications and Informatics (ICACCI)","10.1109/ICACCI.2016.7732136"
"Applying Machine Learning to Predict Software Fault Proneness Using Change Metrics, Static Code Metrics, and a Combination of Them","Y. A. Alshehri and K. Goseva-Popstojanova and D. G. Dzielski and T. Devine",2018,"[""IEEE"",""Engineering Village""]","SoutheastCon 2018","10.1109/SECON.2018.8478911"
"Development History Granularity Transformations (N)","K. Muslu and L. Swart and Y. Brun and M. D. Ernst",2015,"[""IEEE""]","2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE)","10.1109/ASE.2015.53"
"Enhancing History-Based Concern Mining with Fine-Grained Change Analysis","M. Hashimoto and A. Mori",2012,"[""IEEE"",""Engineering Village""]","2012 16th European Conference on Software Maintenance and Reengineering","10.1109/CSMR.2012.18"
"CROP: Linking Code Reviews to Source Code Changes","M. Paixao and J. Krinke and D. Han and M. Harman",2018,"[""IEEE"",""ACM"",""Engineering Village""]","2018 IEEE/ACM 15th International Conference on Mining Software Repositories (MSR)",""
"Visualization of fine-grained code change history","Y. Yoon and B. A. Myers and S. Koo",2013,"[""IEEE"",""Engineering Village""]","2013 IEEE Symposium on Visual Languages and Human Centric Computing","10.1109/VLHCC.2013.6645254"
"Automatically Recommending Peer Reviewers in Modern Code Review","M. B. Zanjani and H. Kagdi and C. Bird",2016,"[""IEEE""]",,"10.1109/TSE.2015.2500238"
"LHDiff: Tracking Source Code Lines to Support Software Maintenance Activities","M. Asaduzzaman and C. K. Roy and K. A. Schneider and M. D. Penta",2013,"[""IEEE"",""Engineering Village""]","2013 IEEE International Conference on Software Maintenance","10.1109/ICSM.2013.78"
"Reducing Features to Improve Code Change-Based Bug Prediction","S. Shivaji and E. James Whitehead and R. Akella and S. Kim",2013,"[""IEEE"",""Engineering Village""]",,"10.1109/TSE.2012.43"
"APIEvolutionMiner: Keeping API evolution under control","A. Hora and A. Etien and N. Anquetil and S. Ducasse and M. T. Valente",2014,"[""IEEE""]","2014 Software Evolution Week - IEEE Conference on Software Maintenance, Reengineering, and Reverse Engineering (CSMR-WCRE)","10.1109/CSMR-WCRE.2014.6747209"
"Primary user detection in cognitive radio networks through quickest detection","M. S. Khan and I. Koo",2017,"[""IEEE""]","2017 International Conference on Communication, Computing and Digital Systems (C-CODE)","10.1109/C-CODE.2017.7918891"
"Generating Accurate and Compact Edit Scripts Using Tree Differencing","V. Frick and T. Grassauer and F. Beck and M. Pinzger",2018,"[""IEEE"",""Engineering Village""]","2018 IEEE International Conference on Software Maintenance and Evolution (ICSME)","10.1109/ICSME.2018.00036"
"On the Conceptual Cohesion of Co-Change Clusters","M. C. D. Oliveira and R. B. D. Almeida and G. N. Ramos and M. Ribeiro",2015,"[""IEEE"",""Engineering Village""]","2015 29th Brazilian Symposium on Software Engineering","10.1109/SBES.2015.16"
"Mining Version Histories for Detecting Code Smells","F. Palomba and G. Bavota and M. D. Penta and R. Oliveto and D. Poshyvanyk and A. De Lucia",2015,"[""IEEE"",""Engineering Village""]",,"10.1109/TSE.2014.2372760"
"Recommending relevant code artifacts for change requests using multiple predictors","O. Denninger",2012,"[""IEEE"",""ACM"",""Engineering Village""]","2012 Third International Workshop on Recommendation Systems for Software Engineering (RSSE)","10.1109/RSSE.2012.6233416"
"A study of repetitiveness of code changes in software evolution","H. A. Nguyen and A. T. Nguyen and T. T. Nguyen and T. N. Nguyen and H. Rajan",2013,"[""IEEE"",""ACM"",""Engineering Village""]","2013 28th IEEE/ACM International Conference on Automated Software Engineering (ASE)","10.1109/ASE.2013.6693078"
"Bug Localization Based on Code Change Histories and Bug Reports","K. C. Youm and J. Ahn and J. Kim and E. Lee",2015,"[""IEEE"",""Engineering Village""]","2015 Asia-Pacific Software Engineering Conference (APSEC)","10.1109/APSEC.2015.23"
"Mining Change Histories for Unknown Systematic Edits","T. Molderez and R. Stevens and C. De Roover",2017,"[""IEEE"",""ACM""]","2017 IEEE/ACM 14th International Conference on Mining Software Repositories (MSR)","10.1109/MSR.2017.12"
"Lost comments support program comprehension","T. Omori",2017,"[""IEEE"",""Engineering Village""]","2017 IEEE 24th International Conference on Software Analysis, Evolution and Reengineering (SANER)","10.1109/SANER.2017.7884680"
"Impact of Version Management for Transactional Memories on Phase-Change Memories","F. L. Teixeira and M. L. Pilla and A. R. D. Bois and D. Mosse",2017,"[""IEEE"",""Engineering Village""]","2017 International Symposium on Computer Architecture and High Performance Computing Workshops (SBAC-PADW)","10.1109/SBAC-PADW.2017.24"
"Recommending source code locations for system specific transformations","G. Santos and K. V. R. Paixão and N. Anquetil and A. Etien and M. de Almeida Maia and S. Ducasse",2017,"[""IEEE""]","2017 IEEE 24th International Conference on Software Analysis, Evolution and Reengineering (SANER)","10.1109/SANER.2017.7884618"
"ChangeMacroRecorder: Recording fine-grained textual changes of source code","K. Maruyama and S. Hayashi and T. Omori",2018,"[""IEEE""]","2018 IEEE 25th International Conference on Software Analysis, Evolution and Reengineering (SANER)","10.1109/SANER.2018.8330255"
"When Do Changes Induce Software Vulnerabilities?","M. Alohaly and H. Takabi",2017,"[""IEEE"",""Engineering Village""]","2017 IEEE 3rd International Conference on Collaboration and Internet Computing (CIC)","10.1109/CIC.2017.00020"
"Code Reviewing in the Trenches: Challenges and Best Practices","L. MacLeod and M. Greiler and M. Storey and C. Bird and J. Czerwonka",2018,"[""IEEE"",""Engineering Village""]",,"10.1109/MS.2017.265100500"
"Generalizing the Analysis of Evolutionary Coupling for Software Change Impact Analysis","T. Rolfsnes and S. D. Alesio and R. Behjati and L. Moonen and D. W. Binkley",2016,"[""IEEE""]","2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)","10.1109/SANER.2016.101"
"The atomic change set of Java programming language","Y. Liang and L. Yansheng",2012,"[""IEEE"",""Engineering Village""]","2012 7th International Conference on Computer Science Education (ICCSE)","10.1109/ICCSE.2012.6295253"
"Can we predict types of code changes? An empirical analysis","E. Giger and M. Pinzger and H. C. Gall",2012,"[""IEEE"",""Engineering Village""]","2012 9th IEEE Working Conference on Mining Software Repositories (MSR)","10.1109/MSR.2012.6224284"
"Implication of N400 and P600 waves in the Linguistic Code Change in Monolinguals and Bilinguals","D. Achanccaray and J. Astucuri and M. Hayashibe and J. Pirca and V. Espinoza",2018,"[""IEEE"",""Engineering Village""]","2018 40th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","10.1109/EMBC.2018.8512651"
"Extracting executable transformations from distilled code changes","R. Stevens and C. De Roover",2017,"[""IEEE""]","2017 IEEE 24th International Conference on Software Analysis, Evolution and Reengineering (SANER)","10.1109/SANER.2017.7884619"
"[Research Paper] Which Method-Stereotype Changes are Indicators of Code Smells?","M. J. Decker and C. D. Newman and N. Dragan and M. L. Collard and J. I. Maletic and N. A. Kraft",2018,"[""IEEE""]","2018 IEEE 18th International Working Conference on Source Code Analysis and Manipulation (SCAM)","10.1109/SCAM.2018.00017"
"Cross-project build co-change prediction","X. Xia and D. Lo and S. McIntosh and E. Shihab and A. E. Hassan",2015,"[""IEEE"",""Engineering Village""]","2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)","10.1109/SANER.2015.7081841"
"Software Defect Prediction Using Semi-Supervised Learning with Change Burst Information","Q. He and B. Shen and Y. Chen",2016,"[""IEEE"",""Engineering Village""]","2016 IEEE 40th Annual Computer Software and Applications Conference (COMPSAC)","10.1109/COMPSAC.2016.193"
"Assessing Technical Debt in Automated Tests with CodeScene","A. Tornhill",2018,"[""IEEE"",""Engineering Village""]","2018 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)","10.1109/ICSTW.2018.00039"
"Mining Performance Regression Inducing Code Changes in Evolving Software","Q. Luo and D. Poshyvanyk and M. Grechanik",2016,"[""IEEE"",""ACM"",""Engineering Village""]","2016 IEEE/ACM 13th Working Conference on Mining Software Repositories (MSR)","10.1109/MSR.2016.013"
"Semantic zooming of code change history","Y. Yoon and B. A. Myers",2015,"[""IEEE"",""Engineering Village""]","2015 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)","10.1109/VLHCC.2015.7357203"
"A Practical Approach to the Automatic Classification of Security-Relevant Commits","A. Sabetta and M. Bezzi",2018,"[""IEEE""]","2018 IEEE International Conference on Software Maintenance and Evolution (ICSME)","10.1109/ICSME.2018.00058"
"Helping Mobile Software Code Reviewers: A Study of Bug Repair and Refactoring Patterns","Z. Chen",2016,"[""IEEE"",""ACM"",""Engineering Village""]","2016 IEEE/ACM International Conference on Mobile Software Engineering and Systems (MOBILESoft)","10.1109/MobileSoft.2016.026"
"A History Querying Tool and Its Application to Detect Multi-version Refactorings","R. Stevens and C. De Roover and C. Noguera and V. Jonckers",2013,"[""IEEE"",""Engineering Village""]","2013 17th European Conference on Software Maintenance and Reengineering","10.1109/CSMR.2013.44"
"Who should review my code? A file location-based code-reviewer recommendation approach for Modern Code Review","P. Thongtanunam and C. Tantithamthavorn and R. G. Kula and N. Yoshida and H. Iida and K. Matsumoto",2015,"[""IEEE""]","2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)","10.1109/SANER.2015.7081824"
"Explaining Why Methods Change Together","A. Lozano and C. Noguera and V. Jonckers",2014,"[""IEEE"",""Engineering Village""]","2014 IEEE 14th International Working Conference on Source Code Analysis and Manipulation","10.1109/SCAM.2014.27"
"Co-evolution analysis of production and test code by learning association rules of changes","L. Vidács and M. Pinzger",2018,"[""IEEE"",""Engineering Village""]","2018 IEEE Workshop on Machine Learning Techniques for Software Quality Evaluation (MaLTeSQuE)","10.1109/MALTESQUE.2018.8368456"
"MINCE: Mining change history of Android project","V. S. Sinha and S. Mani and M. Gupta",2012,"[""IEEE"",""ACM"",""Engineering Village""]","2012 9th IEEE Working Conference on Mining Software Repositories (MSR)","10.1109/MSR.2012.6224271"
"How Well Do Change Sequences Predict Defects? Sequence Learning from Software Changes","M. Wen and R. Wu and S. C. Cheung",2018,"[""IEEE"",""Engineering Village""]",,"10.1109/TSE.2018.2876256"
"Learning binary code features for UAV target tracking","Q. Xiao and Q. Zhang and X. Wu and X. Han and R. Li",2017,"[""IEEE"",""Engineering Village""]","2017 3rd IEEE International Conference on Control Science and Systems Engineering (ICCSSE)","10.1109/CCSSE.2017.8087896"
"Code Bad Smell Detection through Evolutionary Data Mining","S. Fu and B. Shen",2015,"[""IEEE"",""Engineering Village""]","2015 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM)","10.1109/ESEM.2015.7321194"
"Reducing human effort and improving quality in peer code reviews using automatic static analysis and reviewer recommendation","V. Balachandran",2013,"[""IEEE"",""ACM"",""Engineering Village""]","2013 35th International Conference on Software Engineering (ICSE)","10.1109/ICSE.2013.6606642"
"[Journal First] On the Diffuseness and the Impact on Maintainability of Code Smells: A Large Scale Empirical Investigation","F. Palomba and G. Bavota and M. Di Penta and F. Fasano and R. Oliveto and A. De Lucia",2018,"[""IEEE""]","2018 IEEE/ACM 40th International Conference on Software Engineering (ICSE)",""
"Mining Version Control System for Automatically Generating Commit Comment","Y. Huang and Q. Zheng and X. Chen and Y. Xiong and Z. Liu and X. Luo",2017,"[""IEEE"",""ACM"",""Engineering Village""]","2017 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM)","10.1109/ESEM.2017.56"
"Recommending Code Changes for Automatic Backporting of Linux Device Drivers","F. Thung and X. D. Le and D. Lo and J. Lawall",2016,"[""IEEE"",""Engineering Village""]","2016 IEEE International Conference on Software Maintenance and Evolution (ICSME)","10.1109/ICSME.2016.71"
"Co-evolution of Infrastructure and Source Code - An Empirical Study","Y. Jiang and B. Adams",2015,"[""IEEE"",""Engineering Village""]","2015 IEEE/ACM 12th Working Conference on Mining Software Repositories","10.1109/MSR.2015.12"
"SENSA: Sensitivity Analysis for Quantitative Change-Impact Prediction","H. Cai and S. Jiang and R. Santelices and Y. Zhang and Y. Zhang",2014,"[""IEEE""]","2014 IEEE 14th International Working Conference on Source Code Analysis and Manipulation","10.1109/SCAM.2014.25"
"Extracting Facts from Performance Tuning History of Scientific Applications for Predicting Effective Optimization Patterns","M. Hashimoto and M. Terai and T. Maeda and K. Minami",2015,"[""IEEE"",""ACM"",""Engineering Village""]","2015 IEEE/ACM 12th Working Conference on Mining Software Repositories","10.1109/MSR.2015.9"
"Code Churn: A Neglected Metric in Effort-Aware Just-in-Time Defect Prediction","J. Liu and Y. Zhou and Y. Yang and H. Lu and B. Xu",2017,"[""IEEE""]","2017 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM)","10.1109/ESEM.2017.8"
"Four eyes are better than two: On the impact of code reviews on software quality","G. Bavota and B. Russo",2015,"[""IEEE""]","2015 IEEE International Conference on Software Maintenance and Evolution (ICSME)","10.1109/ICSM.2015.7332454"
"Gated factored 3-way RBM for image transformation","L. Xia and A. Yadav and N. Duobiao",2016,"[""IEEE"",""Engineering Village""]","2016 13th International Computer Conference on Wavelet Active Media Technology and Information Processing (ICCWAMTIP)","10.1109/ICCWAMTIP.2016.8079826"
"Using Developer-Interaction Trails to Triage Change Requests","M. B. Zanjani and H. Kagdi and C. Bird",2015,"[""IEEE"",""ACM"",""Engineering Village""]","2015 IEEE/ACM 12th Working Conference on Mining Software Repositories","10.1109/MSR.2015.16"
"Summarizing Evolutionary Trajectory by Grouping and Aggregating relevant code changes","Qingtao Jiang and X. Peng and Hai Wang and Z. Xing and W. Zhao",2015,"[""IEEE"",""Engineering Village""]","2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)","10.1109/SANER.2015.7081846"
"Mapping API Elements for Code Migration with Vector Representations","T. D. Nguyen and A. T. Nguyen and T. N. Nguyen",2016,"[""IEEE""]","2016 IEEE/ACM 38th International Conference on Software Engineering Companion (ICSE-C)",""
"When and Why Your Code Starts to Smell Bad (and Whether the Smells Go Away)","M. Tufano and F. Palomba and G. Bavota and R. Oliveto and M. D. Penta and A. De Lucia and D. Poshyvanyk",2017,"[""IEEE"",""Engineering Village""]",,"10.1109/TSE.2017.2653105"
"Mining system specific rules from change patterns","A. Hora and N. Anquetil and S. Ducasse and M. T. Valente",2013,"[""IEEE"",""Engineering Village""]","2013 20th Working Conference on Reverse Engineering (WCRE)","10.1109/WCRE.2013.6671308"
"Discriminative Transfer Subspace Learning via Low-Rank and Sparse Representation","Y. Xu and X. Fang and J. Wu and X. Li and D. Zhang",2016,"[""IEEE"",""Engineering Village""]",,"10.1109/TIP.2015.2510498"
"Identifying Implicit Architectural Dependencies Using Measures of Source Code Change Waves","M. Staron and W. Meding and C. Höglund and P. Eriksson and J. Nilsson and J. Hansson",2013,"[""IEEE"",""Engineering Village""]","2013 39th Euromicro Conference on Software Engineering and Advanced Applications","10.1109/SEAA.2013.9"
"Crosscutting revision control system","S. Ifrah and D. H. Lorenz",2012,"[""IEEE"",""ACM""]","2012 34th International Conference on Software Engineering (ICSE)","10.1109/ICSE.2012.6227182"
"Enhancing flexibility and portability of Execution Preserving Language Transformation using Meta programming","S. N. Beevi and D. C. Prasad and S. S. V. Chandra",2012,"[""IEEE"",""Engineering Village""]","2012 International Conference on Power, Signals, Controls and Computation","10.1109/EPSCICON.2012.6175252"
"Integrated impact analysis for managing software changes","M. Gethers and B. Dit and H. Kagdi and D. Poshyvanyk",2012,"[""IEEE"",""ACM"",""Engineering Village""]","2012 34th International Conference on Software Engineering (ICSE)","10.1109/ICSE.2012.6227172"
"A Learning Algorithm for Change Impact Prediction","V. Musco and A. Carette and M. Monperrus and P. Preux",2016,"[""IEEE"",""ACM"",""Engineering Village""]","2016 IEEE/ACM 5th International Workshop on Realizing Artificial Intelligence Synergies in Software Engineering (RAISE)","10.1109/RAISE.2016.010"
"Evolving Requirements-to-Code Trace Links across Versions of a Software System","M. Rahimi and W. Goss and J. Cleland-Huang",2016,"[""IEEE""]","2016 IEEE International Conference on Software Maintenance and Evolution (ICSME)","10.1109/ICSME.2016.57"
"Reducing Attack Surface via Executable Transformation","S. Mertoguno and R. Craven and D. Koller and M. Mickelson",2018,"[""IEEE""]","2018 IEEE Cybersecurity Development (SecDev)","10.1109/SecDev.2018.00034"
"A notation for non-linear program edits","M. Erwig and K. Smeltzer and K. Xu",2014,"[""IEEE""]","2014 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)","10.1109/VLHCC.2014.6883057"
"Using edit distance and junction feature to detect and recognize arrow road marking","uhang He and hi Chen and ifeng Pan and ai Ni",2014,"[""IEEE"",""Engineering Village""]","17th International IEEE Conference on Intelligent Transportation Systems (ITSC)","10.1109/ITSC.2014.6958061"
"Deploying an enterprise-class Software Lifecycle Management solution for Test Program Sets","T. W. Davis and G. S. Kane",2015,"[""IEEE"",""Engineering Village""]","2015 IEEE AUTOTESTCON","10.1109/AUTEST.2015.7356532"
"Exploiting tree structures for classifying programs by functionalities","Viet Anh Phan and Ngoc Phuong Chau and Minh Le Nguyen",2016,"[""IEEE"",""Engineering Village""]","2016 Eighth International Conference on Knowledge and Systems Engineering (KSE)","10.1109/KSE.2016.7758034"
"Keynote 1","J. Cong",2016,"[""IEEE""]","2016 IEEE International Conference on Networking, Architecture and Storage (NAS)","10.1109/NAS.2016.7549384"
"Reconciling the past and the present: An empirical study on the application of source code transformations to automatically rejuvenate Java programs","R. Dantas and A. Carvalho and D. Marcílio and L. Fantin and U. Silva and W. Lucas and R. Bonifácio",2018,"[""IEEE"",""Engineering Village""]","2018 IEEE 25th International Conference on Software Analysis, Evolution and Reengineering (SANER)","10.1109/SANER.2018.8330247"
"Ensemble techniques for software change prediction: A preliminary investigation","G. Catolino and F. Ferrucci",2018,"[""IEEE"",""Engineering Village""]","2018 IEEE Workshop on Machine Learning Techniques for Software Quality Evaluation (MaLTeSQuE)","10.1109/MALTESQUE.2018.8368455"
"A Source Code Recommender System to Support Newcomers","Y. Malheiros and A. Moraes and C. Trindade and S. Meira",2012,"[""IEEE"",""Engineering Village""]","2012 IEEE 36th Annual Computer Software and Applications Conference","10.1109/COMPSAC.2012.11"
"An Implementation of Just-in-Time Fault-Prone Prediction Technique Using Text Classifier","K. Mori and O. Mizuno",2015,"[""IEEE"",""Engineering Village""]","2015 IEEE 39th Annual Computer Software and Applications Conference","10.1109/COMPSAC.2015.143"
"Machine Learning-Based Detection of Open Source License Exceptions","C. Vendome and M. Linares-Vásquez and G. Bavota and M. Di Penta and D. German and D. Poshyvanyk",2017,"[""IEEE"",""ACM"",""Engineering Village""]","2017 IEEE/ACM 39th International Conference on Software Engineering (ICSE)","10.1109/ICSE.2017.19"
