"name","authors","year","base","booktitle","doi"
"Empirical analysis of change metrics for software fault prediction","Garvit Rajesh Choudhary and Sandeep Kumar and Kuldeep Kumar and Alok Mishra and Cagatay Catal",2018,"[""Science Direct"",""Engineering Village""]",,"https://doi.org/10.1016/j.compeleceng.2018.02.043"
"Improving regression test efficiency with an awareness of refactoring changes","Zhiyuan Chen and Hai-Feng Guo and Myoungkyu Song",2018,"[""Science Direct"",""Engineering Village""]",,"https://doi.org/10.1016/j.infsof.2018.07.003"
"R2PCAH: Hashing with two-fold randomness on principal projections","Peng Li and Peng Ren",2017,"[""Science Direct""]",,"https://doi.org/10.1016/j.neucom.2017.01.019"
"Coding interactions in Motivational Interviewing with computer-software: What are the advantages for process researchers?","Florian E. Klonek and Vicenç Quera and Simone Kauffeld",2015,"[""Science Direct"",""Engineering Village""]",,"https://doi.org/10.1016/j.chb.2014.10.034"
"Adaptive Prediction Error Coding in the Human Midbrain and Striatum Facilitates Behavioral Adaptation and Learning Efficiency","Kelly M.J. Diederen and Tom Spencer and Martin D. Vestergaard and Paul C. Fletcher and Wolfram Schultz",2016,"[""Science Direct""]",,"https://doi.org/10.1016/j.neuron.2016.04.019"
"Domain-specific acceleration and auto-parallelization of legacy scientific code in FORTRAN 77 using source-to-source compilation","Wim Vanderbauwhede and Gavin Davidson",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.compfluid.2018.06.005"
"Open source FreeRTOS as a case study in real-time operating system evolution","Fei Guan and Long Peng and Luc Perneel and Martin Timmerman",2016,"[""Science Direct""]",,"https://doi.org/10.1016/j.jss.2016.04.063"
"How deep learning extracts and learns leaf features for plant classification","Sue Han Lee and Chee Seng Chan and Simon Joseph Mayo and Paolo Remagnino",2017,"[""Science Direct"",""Engineering Village""]",,"https://doi.org/10.1016/j.patcog.2017.05.015"
"Spiking signal processing: Principle and applications in control system","L.M. Grzesiak and V. Meganck",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.neucom.2018.03.054"
"Affine-transformation and 2D-projection invariant k-NN classification of handwritten characters via a new matching measure","Yukihiko Yamashita and Toru Wakahara",2016,"[""Science Direct""]",,"https://doi.org/10.1016/j.patcog.2015.10.002"
"A detection framework for semantic code clones and obfuscated code","Abdullah Sheneamer and Swarup Roy and Jugal Kalita",2018,"[""Science Direct"",""Engineering Village""]",,"https://doi.org/10.1016/j.eswa.2017.12.040"
"Enhancing developer recommendation with supplementary information via mining historical commits","Xiaobing Sun and Hui Yang and Xin Xia and Bin Li",2017,"[""Science Direct"",""Engineering Village""]",,"https://doi.org/10.1016/j.jss.2017.09.021"
"Towards a Severity and Activity based Assessment of Code Smells","Harris Kristanto Husien and Muhammad Firdaus Harun and Horst Lichter",2017,"[""Science Direct"",""Engineering Village""]",,"https://doi.org/10.1016/j.procs.2017.10.040"
